Sr. No.,Data Source,Shop Name,Contact / Owner,WhatsApp Number,Area / Locality,Zone,Store Type,Years Operating,Has Refrigerator,ADA / Distributor,Brands Stocked,Stocks Amul C&T,Aware of Amul C&T,Why Not Stocking C&T,C&T SKU Mix (80g / 180g / 850g),C&T Estimated Packs / Week,Amul Masti Dahi Packs / Week (est.),Pack Sizes Most in Demand,Packaging Format Preferred,#1 Selling Dahi Brand at Store,"Brand Ranking (brands stocked, by volume)",Amul Dahi Sales Change vs 1 Year Ago,Primary Reason Customers Choose Competitor,Customers Ask for Amul Dahi by Name,Customers Ask for Other Brand by Name,Margin on Amul Dahi (from price list),Best Trade Promotions Brand,Branded Display / Fridge Provided By,Best Rep Visits Brand,Best Shelf Life / Freshness Brand,Preferential Shelf Placement Brand,Biggest 6-Month Growth Brand,Trade Promotions Received on Amul Dahi,Amul Rep Visit Frequency,Customer Complaints About Amul Dahi,Customer Feedback on Amul C&T Specifically,Suggested Changes / Improvements for Amul,Other Feedback for Amul,Timestamp,zone_clean,store_type_clean,years_operating_clean,fridge_type,awareness_tier,rep_visit_clean,promo_received_clean,stocks_ct,pack_format_clean,phone_clean,phone_valid,feat_refrigerator_flag,feat_dedicated_fridge,feat_awareness_score,feat_rep_visit_score,feat_promo_bonus,feat_engagement_score,feat_infrastructure_score,feat_competitor_presence,feat_frubon_threat_score,feat_ct_weekly_volume,feat_masti_weekly_volume,feat_years_operating_num,feat_adoption_likelihood,nlp_complaints,nlp_ct_feedback,nlp_suggestions,nlp_other_feedback,nlp_why_not_stocking,nlp_full_corpus
132,Synthetic (Shoppee YES + March Sales),Bharat Traders (Khandelwal)Anajmandi,Ram Kishore Khandelwal,9001077829.0,Anaj Mandi,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Yadav & Sons,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi",No,"No, not aware at all",,,,50–100 packs/week,"80g / 180g (small cup, single use)","Cup/tub (convenient, resealable)",Saras Dahi,"#1: Saras Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Stayed the same,Thickness/texture preference,"Yes, often",,Amul Masti Dahi: 5–10%,Saras,,Amul,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,No complaints,Too thin/watery compared to Masti Dahi per retailer observation,Better margins for retailers,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,unaware,monthly,never,False,cup,90010778290,False,1,1,0,2,0,2,2,1,0,0,75,4,5.17,no complaints,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
133,Synthetic (Shoppee YES + March Sales),Hansram Gujjar Home Delivery,Hansram Gujjar,9772165827.0,Shipra Path Mansarovar,Vaishali Nagar / Mansarovar,Kiryana/General store,2–5 years,"Yes, dedicated dairy refrigerator",Shree Syam Parlour,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,200–500 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal), 850g (large family pack)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased slightly,Local pride in Saras,Rarely,,Amul Masti Dahi: 5–10%,Saras,,Frubon,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,Packaging leaks or breaks,Too thin/watery compared to Masti Dahi per retailer observation,More consumer-facing offers/free trials,no_data,,Vaishali_Mansarovar,Kiryana,2_5yrs,dedicated,unaware,monthly,never,False,cup,97721658270,False,1,1,0,2,0,2,2,1,1,0,350,2,4.42,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
134,Synthetic (Shoppee YES + March Sales),Pareek Kirana Store,Surendra Kumar Pareek,8385830500.0,Shiv Colony Pratap Nagar Sanganer,Malviya Nagar / Jagatpura / Sanganer,Kiryana/General store,Less than 2 years,"Yes, dedicated dairy refrigerator",Rishit,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi, FruBon Dahi",No,"Yes, aware but not stocking",Saras is sufficient for my customers,,,20–50 packs/week,"80g / 180g (small cup, single use)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Saras Dahi",Increased significantly,Taste preference,"Yes, often",,Amul Masti Dahi: 5–10%,Frubon,,Frubon,Amul,"Amul (Eye Level, Front Of Fridge)",Saras Dahi,"Yes, occasionally",Monthly,Curd is too sour,Customers haven't asked for it,Better margins for retailers,no_data,,Malviya_Sanganer,Kiryana,lt_2yrs,dedicated,aware_only,monthly,yes_occasionally,False,cup,83858305000,False,1,1,1,2,2,4,2,1,3,0,35,1,5.87,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,saras is sufficient for my customers,curd is too sour | customers haven't asked for it | better margins for retailers | saras is sufficient for my customers
135,Synthetic (Shoppee YES + March Sales),Radha Kirana Store,Radha Devi,8104581502.0,Tirupati Balaji Nagar Road Number 4,Amer / Periphery / Ajmer Road,Kiryana/General store,2–5 years,"Yes, dedicated dairy refrigerator",Rishit,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi, FruBon Dahi",No,"Yes, aware but not stocking",Company rep hasn't offered it,,,50–100 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)",No clear preference,Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Saras Dahi",Increased slightly,Local pride in Saras,Rarely,,Amul Masti Dahi: 5–10%,Saras,,Frubon,About The Same,"Saras (Eye Level, Front Of Fridge)",Frubon Dahi,"No, never",Monthly,Packaging leaks or breaks,Customers haven't asked for it,Smaller affordable SKU for single-use,no_data,,Amer_Periphery,Kiryana,2_5yrs,dedicated,aware_only,monthly,never,False,no_preference,81045815020,False,1,1,1,2,0,2,2,1,1,0,75,2,5.58,packaging leaks or breaks,customers haven't asked for it,smaller affordable sku for single-use,no_data,company rep hasn't offered it,packaging leaks or breaks | customers haven't asked for it | smaller affordable sku for single-use | company rep hasn't offered it
136,Synthetic (Shoppee YES + March Sales),Kanha Store,Harish Mittal,8619324090.0,Sirsi Rd,Amer / Periphery / Ajmer Road,Kiryana/General store,2–5 years,"Yes, dedicated dairy refrigerator",M.D.Agency,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,100–200 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Stayed the same,Price,"Yes, often",,Amul Masti Dahi: 5–10%,Frubon,,Saras,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Rarely (once in 2–3 months),Not thick enough,No awareness among customers,More consumer-facing offers/free trials,no_data,,Amer_Periphery,Kiryana,2_5yrs,dedicated,unaware,rarely,never,False,cup,86193240900,False,1,1,0,1,0,1,2,1,2,0,150,2,4.08,not thick enough,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,not thick enough | no awareness among customers | more consumer-facing offers/free trials
137,Synthetic (Shoppee YES + March Sales),Agarwal Departmental Store,Prateek Agarwal,9314191735.0,80 Ft Road Jyoti Rao Phule Clg,Amer / Periphery / Ajmer Road,Supermarket / Modern trade,5–10 years,"Yes, dedicated dairy refrigerator",Krishna,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi",No,"No, not aware at all",,,,50–100 packs/week,"80g / 180g (small cup, single use)","Cup/tub (convenient, resealable)",Saras Dahi,"#1: Saras Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Stayed the same,Local pride in Saras,Never,,Amul Masti Dahi: 5–10%,Saras,,Amul,Saras,"Amul (Eye Level, Front Of Fridge)",Frubon Dahi,"No, never",Weekly,No complaints,No awareness among customers,More advertising in Jaipur,no_data,,Amer_Periphery,Supermarket,5_10yrs,dedicated,unaware,weekly,never,False,cup,93141917350,False,1,1,0,4,0,4,2,1,0,0,75,3,5.46,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
138,Synthetic (Shoppee YES + March Sales),Yadav Store,Harish Chandra Yadav,9784166668.0,Mahesh Nagar 80 Feet Road,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Anjini,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,100–200 packs/week,"80g / 180g (small cup, single use)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased slightly,Price,Rarely,,Amul Masti Dahi: 5–10%,Frubon,,Frubon,Saras,"Amul (Eye Level, Front Of Fridge)",Saras Dahi,"Yes, occasionally",Monthly,No complaints,Customers haven't asked for it,More advertising in Jaipur,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,unaware,monthly,yes_occasionally,False,pouch,97841666680,False,1,1,0,2,2,4,2,1,3,0,150,4,5.83,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,no_data,no complaints | customers haven't asked for it | more advertising in jaipur
139,Synthetic (Shoppee YES + March Sales),Mridul Enterprises,Sundardas Jain,8118860821.0,Railway Station,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Aditya Cor.,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi, Mother Dairy Curd",No,"No, not aware at all",,,,50–100 packs/week,"80g / 180g (small cup, single use)",Pouch (cheaper),Saras Dahi,"#1: Saras Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Mother Dairy Curd",Decreased slightly,Familiarity/habit,"Yes, often",,Amul Masti Dahi: 5–10%,Saras,,Frubon,About The Same,"Amul (Eye Level, Front Of Fridge)",Frubon Dahi,"No, never",Monthly,No complaints,No awareness among customers,More advertising in Jaipur,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,unaware,monthly,never,False,pouch,81188608210,False,1,1,0,2,0,2,2,1,1,0,75,4,5.17,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
140,Synthetic (Shoppee YES + March Sales),Sankar Kirana Store,,8766038129.0,Hasanpura,Amer / Periphery / Ajmer Road,Kiryana/General store,5–10 years,"Yes, dedicated dairy refrigerator",M.D.Agency,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi, FruBon Dahi",No,"No, not aware at all",,,,100–200 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Saras Dahi",Decreased slightly,Price,"Yes, often",,Amul Masti Dahi: 5–10%,Frubon,,Amul,Saras,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,Curd is too sour,Too thin/watery compared to Masti Dahi per retailer observation,More advertising in Jaipur,no_data,,Amer_Periphery,Kiryana,5_10yrs,dedicated,unaware,monthly,never,False,pouch,87660381290,False,1,1,0,2,0,2,2,1,2,0,150,3,4.79,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
141,Synthetic (Shoppee YES + March Sales),Grhanidhi,Grahnidhi Provision Store,9829228063.0,Malviya Nagar,Malviya Nagar / Jagatpura / Sanganer,Kiryana/General store,5–10 years,"Yes, dedicated dairy refrigerator",Suarj,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,20–50 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased significantly,Price,"Yes, sometimes",,Amul Masti Dahi: 5–10%,None / No Promotions,Frubon Provides Display Box,Frubon,Amul,"Amul (Eye Level, Front Of Fridge)",Frubon Dahi,"No, never",Rarely (once in 2–3 months),Curd is too sour,Too thin/watery compared to Masti Dahi per retailer observation,More advertising in Jaipur,no_data,,Malviya_Sanganer,Kiryana,5_10yrs,dedicated,unaware,rarely,never,False,cup,98292280630,False,1,1,0,1,0,1,2,1,1,0,35,3,4.46,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
142,Synthetic (Shoppee YES + March Sales),Poonam Bakery,Bhupendar Singh Rathore,9782538400.0,Panchyawala,Amer / Periphery / Ajmer Road,Bakery / Convenience,Less than 2 years,"Yes, dedicated dairy refrigerator",M.D.Agency,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,50–100 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased significantly,Taste preference,"Yes, often",,Amul Masti Dahi: 5–10%,Saras,,Saras,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,No complaints,Customers haven't asked for it,More consumer-facing offers/free trials,no_data,,Amer_Periphery,Bakery,lt_2yrs,dedicated,unaware,monthly,never,False,pouch,97825384000,False,1,1,0,2,0,2,2,1,0,0,75,1,4.04,no complaints,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,no complaints | customers haven't asked for it | more consumer-facing offers/free trials
143,Synthetic (Shoppee YES + March Sales),Anjali Provision Store,Bhupendra Jeet Singh Rathore,9828322607.0,Street No.2 Kumawat Colony Khatipura Road,Amer / Periphery / Ajmer Road,Kiryana/General store,5–10 years,"Yes, dedicated dairy refrigerator",Shree Nidhi,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Amul Dahi Creamy & Tasty, Saras Dahi",Yes,"Yes, I stock it",,"180g Cup, 80g Cup",50–100 packs/week,20–50 packs/week,"80g / 180g (small cup, single use)",Pouch (cheaper),Saras Dahi,"#1: Saras Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Amul Dahi Creamy & Tasty",Increased significantly,Price,Never,,"Amul C&T: 80g=24%, 180g=30%, 850g=6.8% | Masti: 5–10%",None / No Promotions,,Frubon,Amul,"Saras (Eye Level, Front Of Fridge)",Frubon Dahi,"No, never",Rarely (once in 2–3 months),Curd is too sour,Customers like the cup format,More advertising in Jaipur,no_data,,Amer_Periphery,Kiryana,5_10yrs,dedicated,stocking,rarely,never,True,pouch,98283226070,False,1,1,3,1,0,1,2,1,1,75,35,3,7.96,curd is too sour,customers like the cup format,more advertising in jaipur,no_data,no_data,curd is too sour | customers like the cup format | more advertising in jaipur
144,Synthetic (Shoppee YES + March Sales),,Sunil,8107091113.0,"Chand Bihari Nagar,Khatipura",Amer / Periphery / Ajmer Road,Kiryana/General store,5–10 years,"Yes, dedicated dairy refrigerator",Rahul,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,20–50 packs/week,"80g / 180g (small cup, single use)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased slightly,Familiarity/habit,"Yes, sometimes",,Amul Masti Dahi: 5–10%,None / No Promotions,Frubon Provides Display Box,Amul,About The Same,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"Yes, occasionally",Fortnightly,Curd is too sour,Customers haven't asked for it,Better margins for retailers,no_data,,Amer_Periphery,Kiryana,5_10yrs,dedicated,unaware,fortnightly,yes_occasionally,False,cup,81070911130,False,1,1,0,3,2,5,2,0,0,0,35,3,5.79,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,no_data,curd is too sour | customers haven't asked for it | better margins for retailers
145,Synthetic (Shoppee YES + March Sales),Ashok Kumar & Company,Rahul Tambi,9887356662.0,Sagar Road Amer,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Khandewal,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi",No,"No, not aware at all",,,,50–100 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)",Pouch (cheaper),Saras Dahi,"#1: Saras Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased significantly,Price,Rarely,,Amul Masti Dahi: 5–10%,Saras,,Saras,Saras,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,No complaints,Too thin/watery compared to Masti Dahi per retailer observation,More frequent sales rep visits,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,unaware,monthly,never,False,pouch,98873566620,False,1,1,0,2,0,2,2,1,0,0,75,4,5.17,no complaints,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
146,Synthetic (Shoppee YES + March Sales),Gurukripa General And Kirana Store,Sharwan Kumar Yogi,8946946406.0,Chaman Market Gas Godam Niwaru,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Nayal,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Mother Dairy Curd",No,"No, not aware at all",,,,20–50 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal), 850g (large family pack)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Mother Dairy Curd",Increased slightly,Price,"Yes, often",,Amul Masti Dahi: 5–10%,None / No Promotions,Frubon Provides Display Box,Saras,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"Yes, occasionally",Rarely (once in 2–3 months),Not thick enough,Too thin/watery compared to Masti Dahi per retailer observation,More advertising in Jaipur,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,unaware,rarely,yes_occasionally,False,pouch,89469464060,False,1,1,0,1,2,3,2,1,0,0,35,4,5.5,not thick enough,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
147,Synthetic (Shoppee YES + March Sales),Rashid Badshah,Abrar Khan,9636962084.0,24 Handipura Amer,Amer / Periphery / Ajmer Road,Kiryana/General store,Less than 2 years,"Yes, dedicated dairy refrigerator",Khandewal,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,100–200 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased slightly,Price,"Yes, often",,Amul Masti Dahi: 5–10%,Saras,,Saras,Amul,"Amul (Eye Level, Front Of Fridge)",Frubon Dahi,"Yes, occasionally",Monthly,Packaging leaks or breaks,Customers haven't asked for it,More consumer-facing offers/free trials,no_data,,Amer_Periphery,Kiryana,lt_2yrs,dedicated,unaware,monthly,yes_occasionally,False,cup,96369620840,False,1,1,0,2,2,4,2,1,0,0,150,1,4.71,packaging leaks or breaks,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | more consumer-facing offers/free trials
148,Synthetic (Shoppee YES + March Sales),Noor Store,Mansoor,8058786888.0,P.N 327 Sanjay Nagar Joshi Marg Jhotwara,Jhotwara / Murlipura,Kiryana/General store,2–5 years,"Yes, dedicated dairy refrigerator",Shree Nidhi,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Amul Dahi Creamy & Tasty",Yes,"Yes, I stock it",,"180g Cup, 80g Cup",50–100 packs/week,100–200 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)",Pouch (cheaper),Amul Dahi Creamy & Tasty,"#1: Amul Dahi Creamy & Tasty, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased significantly,Price,"Yes, sometimes",,"Amul C&T: 80g=24%, 180g=30%, 850g=6.8% | Masti: 5–10%",Frubon,,Amul,Amul,"Amul (Eye Level, Front Of Fridge)",Saras Dahi,"Yes, occasionally",Monthly,No complaints,"Good freshness, priced right",Smaller affordable SKU for single-use,no_data,,Jhotwara_Murlipura,Kiryana,2_5yrs,dedicated,stocking,monthly,yes_occasionally,True,pouch,80587868880,False,1,1,3,2,2,4,2,1,2,75,150,2,8.58,no complaints,"good freshness, priced right",smaller affordable sku for single-use,no_data,no_data,"no complaints | good freshness, priced right | smaller affordable sku for single-use"
149,Synthetic (Shoppee YES + March Sales),Shree Balaji Department Store,Shree Ram Yadav,9667046058.0,Vijay Badi Dadi Ka Phatak,Amer / Periphery / Ajmer Road,Supermarket / Modern trade,More than 10 years,"Yes, dedicated dairy refrigerator",Jasoda,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), FruBon Dahi",No,"No, not aware at all",,,,50–100 packs/week,"80g / 180g (small cup, single use)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: FruBon Dahi",Stayed the same,Local pride in Saras,Never,,Amul Masti Dahi: 5–10%,Saras,,Saras,About The Same,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Fortnightly,Curd is too sour,Too thin/watery compared to Masti Dahi per retailer observation,More frequent sales rep visits,no_data,,Amer_Periphery,Supermarket,gt_10yrs,dedicated,unaware,fortnightly,never,False,pouch,96670460580,False,1,1,0,3,0,3,2,1,0,0,75,4,5.5,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
150,Synthetic (Shoppee YES + March Sales),Janpath Departmental Store,Shailesh,9314637772.0,New Sanganer Road Devi Naga,Malviya Nagar / Jagatpura / Sanganer,Supermarket / Modern trade,More than 10 years,"Yes, dedicated dairy refrigerator",Gaura Agencies,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi",No,"No, not aware at all",,,,20–50 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Saras Dahi",Increased slightly,Price,"Yes, sometimes",,Amul Masti Dahi: 5–10%,Frubon,,Frubon,Amul,"Saras (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"Yes, occasionally",Fortnightly,Not thick enough,Too thin/watery compared to Masti Dahi per retailer observation,More advertising in Jaipur,no_data,,Malviya_Sanganer,Supermarket,gt_10yrs,dedicated,unaware,fortnightly,yes_occasionally,False,pouch,93146377720,False,1,1,0,3,2,5,2,1,3,0,35,4,6.17,not thick enough,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
151,Synthetic (Shoppee YES + March Sales),J.K Provision Store,Harish Gyanchandani,9828019100.0,45 Bhangh Singh Chock Adarsh Nagar,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Yadav & Sons,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi",No,"No, not aware at all",,,,200–500 packs/week,"80g / 180g (small cup, single use)",Pouch (cheaper),Saras Dahi,"#1: Saras Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased slightly,Familiarity/habit,"Yes, sometimes",,Amul Masti Dahi: 5–10%,Saras,,Saras,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Rarely (once in 2–3 months),No complaints,No awareness among customers,Smaller affordable SKU for single-use,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,unaware,rarely,never,False,pouch,98280191000,False,1,1,0,1,0,1,2,1,0,0,350,4,4.83,no complaints,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,no complaints | no awareness among customers | smaller affordable sku for single-use
152,Synthetic (Shoppee YES + March Sales),Meenu,Sharad Sharma,9782921575.0,Ajmer Road Sushilpura,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Gaura Agencies,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), FruBon Dahi",No,"Yes, aware but not stocking",No customer demand/enquiry,,,20–50 packs/week,"80g / 180g (small cup, single use)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: FruBon Dahi",Stayed the same,Taste preference,"Yes, sometimes",,Amul Masti Dahi: 5–10%,Frubon,,Amul,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,Packaging leaks or breaks,Customers haven't asked for it,More advertising in Jaipur,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,aware_only,monthly,never,False,pouch,97829215750,False,1,1,1,2,0,2,2,1,2,0,35,4,6.33,packaging leaks or breaks,customers haven't asked for it,more advertising in jaipur,no_data,no customer demand/enquiry,packaging leaks or breaks | customers haven't asked for it | more advertising in jaipur | no customer demand/enquiry
153,Synthetic (Shoppee YES + March Sales),Garima General Store,Ramesh Sawlani,9928586050.0,Ambabari Keshav Path Jhotwara Road,Jhotwara / Murlipura,Kiryana/General store,5–10 years,"Yes, dedicated dairy refrigerator",Tanu Enterprise,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Amul Dahi Creamy & Tasty",Yes,"Yes, I stock it",,"850g Pouch, 180g Cup",Less than 20 packs/week,100–200 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal), 850g (large family pack)",No clear preference,Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Amul Dahi Creamy & Tasty",Increased slightly,Price,"Yes, often",,"Amul C&T: 80g=24%, 180g=30%, 850g=6.8% | Masti: 5–10%",None / No Promotions,Frubon Provides Display Box,Saras,Saras,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Fortnightly,Curd is too sour,Customers like the cup format,Better margins for retailers,no_data,,Jhotwara_Murlipura,Kiryana,5_10yrs,dedicated,stocking,fortnightly,never,True,no_preference,99285860500,False,1,1,3,3,0,3,2,1,0,10,150,3,8.62,curd is too sour,customers like the cup format,better margins for retailers,no_data,no_data,curd is too sour | customers like the cup format | better margins for retailers
